,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
224,1799.0,ColorFit Pulse 2,Grey,1.8 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
225,1799.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
226,1299.0,ColorFit Pulse Grand,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
227,1799.0,Strap,Pink,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
228,1799.0,Strap,Grey,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
229,1799.0,Strap,Blue,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
230,1899.0,ColorFit Pulse,Jet Black,1.4 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
231,1999.0,ColorFit Pulse Grand,Pink,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
232,1999.0,Modern,Blue,1.85 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
233,1999.0,Modern,Jet Black,1.38 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
234,3499.0,ColorFit Ultra 2 Buzz,Black,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
235,1499.0,ColorFit Pro 2,Deep Wine,1.3 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
236,1499.0,ColorFit Pro 2,Jet Black,1.33 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
237,1799.0,ColorFit Pulse 2,Grey,1.8 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
238,2499.0,NoiseFit Agile 2 Buzz,Black,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
239,1499.0,Modern,Active Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
240,1999.0,Modern,Charcoal Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
241,1499.0,Boat Watch,Active Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
242,2699.0,Modern,Pitch Black,1.54 ,"Sleep Monitor, Heart Rate Monitor","Unisex Teen, Unisex Adult",sqaure
243,1499.0,Modern,Lightning Black,1.3 ,"Calorie Tracker, Heart Rate Monitor","Unisex Teen, Unisex Adult",sqaure
244,1499.0,Modern,Deep Blue,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
245,1799.0,Modern,Mauve,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
246,2999.0,With Alexa,Charcoal Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
247,2299.0,With Alexa,Olive Green,1.69 ,"Sleep Monitor, Heart Rate Monitor","Unisex Teen, Unisex Adult",sqaure
248,2499.0,Modern,Active Black,1.85 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
249,2799.0,BT Calling+AMOLED,Deep Blue,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
250,1499.0,Modern,Active Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
251,1799.0,Boat Watch,Scarlet Red,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
252,1799.0,Modern,Caribbean Green,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
253,1499.0,Modern,Moon Red,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
254,1499.0,Boat Watch,Deep Blue,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
255,1999.0,Modern,Cherry Blossom,1.69 ,"Bluetooth Calling Smart Watch, 20 Built In Watch Faces, Inbuilt Games, 1.81"" HD DIsplay","Unisex Teen, Unisex Adult",sqaure
256,2599.0,With Alexa,Deep Blue,1.69 ,"Sleep Monitor, Heart Rate Monitor","Unisex Teen, Unisex Adult",sqaure
257,1449.0,Modern,Beige,1.69 ,"Heart Rate and SpO2 Monitoring, Multiple Sports Modes, 1.69"" Square HD Display, Multiple Watch Faces","Unisex Teen, Unisex Adult",sqaure
258,1999.0,Minimalist,Deep Blue,1.69 ,"Bluetooth Calling, 1.81"" HD Display, 100+ Sports Modes, Built In Games","Unisex Teen, Unisex Adult",sqaure
259,1899.0,Blaze,Active Black,1.75 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
260,3499.0,BT Calling+AMOLED,Sage Green,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
